Field,Range,Description
Abiotrophia defectiva ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Abiotrophia sp. HMSC24B09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acetivibrio ethanolgignens ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acetivibrio ethanolgignens strain ACET-33324 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Achromobacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acidaminococcus intestini RyC-MR95 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acidaminococcus sp. BV3L6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acidaminococcus sp. D21 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acidaminococcus sp. HPA0509 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acidovorax sp. JS42 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acidovorax sp. NA3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acidovorax sp. T1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acinetobacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acinetobacter johnsonii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Acinetobacter towneri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinobaculum sp. oral taxon 183 str. F0552 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces cardiffensis F0333 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces dentalis DSM 19115 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces georgiae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces gerencseriae DSM 6844 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces graevenitzii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces graevenitzii C83 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces graevenitzii F0530 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces howellii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces johnsonii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces massiliensis 4401292 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
